city,time,train,track
Zurich,7:32,EC 13,Panorama
Zug,7:58,EC 13,Panorama
Zug,8:00,EC 13,Panorama
Arth-Goldau,8:14,EC 13,Panorama
Arth-Goldau,8:17,EC 13,Panorama
Bellinzona,9:55,EC 13,Panorama
Bellinzona,9:56,EC 13,Panorama
Lugano,10:23,EC 13,Panorama
Lugano,10:25,EC 13,Panorama
Chiasso,10:48,EC 13,Panorama
Chiasso,10:52,EC 13,Panorama
Como,10:56,EC 13,Panorama
Como,10:58,EC 13,Panorama
Monza,11:21,EC 13,Panorama
Monza,11:23,EC 13,Panorama
Milano,11:35,EC 13,Panorama
Zurich,9:32,EC 15,Panorama
Zug,9:58,EC 15,Panorama
Zug,10:00,EC 15,Panorama
Arth-Goldau,10:14,EC 15,Panorama
Arth-Goldau,10:17,EC 15,Panorama
Bellinzona,11:55,EC 15,Panorama
Bellinzona,11:56,EC 15,Panorama
Lugano,12:23,EC 15,Panorama
Lugano,12:25,EC 15,Panorama
Chiasso,12:48,EC 15,Panorama
Chiasso,12:52,EC 15,Panorama
Monza,13:21,EC 15,Panorama
Monza,13:23,EC 15,Panorama
Milano,13:35,EC 15,Panorama
Zurich,6:09,EC 11,Basistunnel
Zug,6:30,EC 11,Basistunnel
Zug,6:31,EC 11,Basistunnel
Arth-Goldau,6:46,EC 11,Basistunnel
Arth-Goldau,6:50,EC 11,Basistunnel
Fluelen,7:08,EC 11,Basistunnel
Fluelen,7:09,EC 11,Basistunnel
Bellinzona,7:47,EC 11,Basistunnel
Bellinzona,7:50,EC 11,Basistunnel
Lugano,8:17,EC 11,Basistunnel
Lugano,8:18,EC 11,Basistunnel
Chiasso,8:46,EC 11,Basistunnel
Chiasso,8:52,EC 11,Basistunnel
Monza,9:21,EC 11,Basistunnel
Monza,9:23,EC 11,Basistunnel
Milano,9:35,EC 11,Basistunnel
Zurich,7:09,EC 13,Basistunnel
Zug,7:30,EC 13,Basistunnel
Zug,7:31,EC 13,Basistunnel
Arth-Goldau,7:46,EC 13,Basistunnel
Arth-Goldau,7:50,EC 13,Basistunnel
Fluelen,8:08,EC 13,Basistunnel
Fluelen,8:09,EC 13,Basistunnel
Bellinzona,8:47,EC 13,Basistunnel
Bellinzona,8:50,EC 13,Basistunnel
Lugano,9:17,EC 13,Basistunnel
Lugano,9:18,EC 13,Basistunnel
Chiasso,9:46,EC 13,Basistunnel
Chiasso,9:52,EC 13,Basistunnel
Como,9:56,EC 13,Basistunnel
Como,9:58,EC 13,Basistunnel
Monza,10:21,EC 13,Basistunnel
Monza,10:23,EC 13,Basistunnel
Milano,10:35,EC 13,Basistunnel
Zurich,9:09,EC 15,Basistunnel
Zug,9:30,EC 15,Basistunnel
Zug,9:31,EC 15,Basistunnel
Arth-Goldau,9:46,EC 15,Basistunnel
Arth-Goldau,9:50,EC 15,Basistunnel
Bellinzona,10:47,EC 15,Basistunnel
Bellinzona,10:50,EC 15,Basistunnel
Lugano,11:17,EC 15,Basistunnel
Lugano,11:18,EC 15,Basistunnel
Chiasso,11:46,EC 15,Basistunnel
Chiasso,11:52,EC 15,Basistunnel
Monza,12:21,EC 15,Basistunnel
Monza,12:23,EC 15,Basistunnel
Milano,12:35,EC 15,Basistunnel
Milano,10:25,EC 14,Panorama
Monza,10:35,EC 14,Panorama
Monza,10:37,EC 14,Panorama
Como,11:01,EC 14,Panorama
Como,11:03,EC 14,Panorama
Chiasso,11:08,EC 14,Panorama
Chiasso,11:12,EC 14,Panorama
Lugano,11:32,EC 14,Panorama
Lugano,11:34,EC 14,Panorama
Bellinzona,11:59,EC 14,Panorama
Bellinzona,12:00,EC 14,Panorama
Arth-Goldau,13:43,EC 14,Panorama
Arth-Goldau,13:45,EC 14,Panorama
Zug,13:59,EC 14,Panorama
Zug,14:01,EC 14,Panorama
Zurich,14:28,EC 14,Panorama
Milano,8:25,EC 12,Panorama
Monza,8:35,EC 12,Panorama
Monza,8:37,EC 12,Panorama
Como,9:01,EC 12,Panorama
Como,9:03,EC 12,Panorama
Chiasso,9:08,EC 12,Panorama
Chiasso,9:12,EC 12,Panorama
Lugano,9:32,EC 12,Panorama
Lugano,9:34,EC 12,Panorama
Bellinzona,9:59,EC 12,Panorama
Bellinzona,10:00,EC 12,Panorama
Arth-Goldau,11:43,EC 12,Panorama
Arth-Goldau,11:45,EC 12,Panorama
Zug,11:59,EC 12,Panorama
Zug,12:01,EC 12,Panorama
Zurich,12:28,EC 12,Panorama
Milano,7:25,EC 12,Basistunnel
Monza,7:35,EC 12,Basistunnel
Monza,7:37,EC 12,Basistunnel
Chiasso,8:08,EC 12,Basistunnel
Chiasso,8:15,EC 12,Basistunnel
Lugano,8:41,EC 12,Basistunnel
Lugano,8:43,EC 12,Basistunnel
Bellinzona,9:10,EC 12,Basistunnel
Bellinzona,9:13,EC 12,Basistunnel
Arth-Goldau,10:09,EC 12,Basistunnel
Arth-Goldau,10:13,EC 12,Basistunnel
Zug,10:27,EC 12,Basistunnel
Zug,10:29,EC 12,Basistunnel
Zurich,10:51,EC 12,Basistunnel
Milano,9:25,EC 14,Basistunnel
Monza,9:35,EC 14,Basistunnel
Monza,9:37,EC 14,Basistunnel
Como,10:01,EC 14,Basistunnel
Como,10:03,EC 14,Basistunnel
Chiasso,10:08,EC 14,Basistunnel
Chiasso,10:15,EC 14,Basistunnel
Lugano,10:41,EC 14,Basistunnel
Lugano,10:43,EC 14,Basistunnel
Bellinzona,11:10,EC 14,Basistunnel
Bellinzona,11:13,EC 14,Basistunnel
Arth-Goldau,12:09,EC 14,Basistunnel
Arth-Goldau,12:13,EC 14,Basistunnel
Zug,12:27,EC 14,Basistunnel
Zug,12:29,EC 14,Basistunnel
Zurich,12:51,EC 14,Basistunnel